customer_code,customer,net_error,net_error_prcnt,abs_error,abs_error_prcnt,forecast_accuracy
90002008,Amazon,56903,4.5015,724123,57.2839,42.7161
90020102,Fnac-Darty,-596,-1.9243,17746,57.2969,42.7031
90018110,Boulanger,2185,2.1119,59473,57.4841,42.5159
90018107,Elite,50,0.0466,61708,57.5398,42.4602
90020099,"Integration Stores",-376,-1.1686,18524,57.5709,42.4291
90018106,Flipkart,-693,-0.5285,75507,57.5888,42.4112
90002013,Electricalslytical,31564,4.2303,430464,57.6926,42.3074
90002016,"Amazon ",34143,4.2765,461711,57.8311,42.1689
70011193,"Atliq Exclusive",85,0.0420,117075,57.8491,42.1509
90002011,"Atliq Exclusive",2714,0.3521,446120,57.8726,42.1274
90011189,UniEuro,1937,0.9614,116697,57.9202,42.0798
90011192,"Amazon ",1103,0.5138,124465,57.9756,42.0244
90018112,Euronics,3979,3.5705,64665,58.0267,41.9733
90018111,"Media Markt",-1326,-1.2594,61184,58.1089,41.8911
90002015,Propel,51425,6.5938,453779,58.1843,41.8157
90002014,Expression,14181,1.9393,426963,58.3877,41.6123
90020100,Nova,702,2.0982,19544,58.4135,41.5865
90002009,Flipkart,13112,1.4161,540854,58.4141,41.5859
90009129,Leader,8174,7.4631,63992,58.4263,41.5737
90018109,Chiptec,3205,3.1082,60257,58.4361,41.5639
90011191,Sorefoz,-825,-0.3951,122073,58.4635,41.5365
90018114,"Amazon ",535,0.5223,59925,58.5034,41.4966
70020104,"Atliq e Store",-310,-0.9447,19228,58.5934,41.4066
70011194,"Atliq e Store",-1693,-0.8429,117685,58.5952,41.4048
90018108,Relief,437,0.3996,64095,58.6145,41.3855
70018115,"Atliq e Store",1226,1.1527,62408,58.6762,41.3238
90011190,"Media Markt",4419,2.1831,118897,58.7386,41.2614
90011187,"Chip 7",3794,1.8132,122976,58.7727,41.2273
90018113,Elkjøp,-69,-0.0679,59801,58.8257,41.1743
90020103,"Amazon ",-728,-2.2902,18754,58.9990,41.0010
90018105,"Integration Stores",-832,-0.8308,59180,59.0955,40.9045
90020101,Euronics,355,1.1544,18375,59.7522,40.2478
90011188,Elkjøp,-2174,-1.0217,127316,59.8351,40.1649
90003179,"Acclaimed Stores",-42354,-13.0612,196698,60.6581,39.3419
90008165,"Forward Stores",-23044,-10.3760,134868,60.7267,39.2733
70008170,"Atliq e Store",-21956,-9.8033,137200,61.2596,38.7404
70005163,"Atliq e Store",-9503,-11.6020,50279,61.3847,38.6153
90022077,"Radio Shack",-47096,-11.1911,258990,61.5422,38.4578
70008169,"Atliq Exclusive",-22129,-9.9579,137573,61.9068,38.0932
90024184,"Amazon ",-2957,-13.9718,13147,62.1196,37.8804
90024183,"Electricalsbea Stores",-1559,-7.5423,12865,62.2400,37.7600
90003180,"Amazon ",-46556,-14.1325,205988,62.5297,37.4703
70003182,"Atliq e Store",-40210,-12.9447,194688,62.6752,37.3248
90005160,"Nomad Stores",-9116,-10.6660,53600,62.7135,37.2865
90005161,Zone,-8856,-11.2759,49404,62.9038,37.0962
90022083,Ebay,-69678,-16.1648,271498,62.9854,37.0146
90022072,Path,-68529,-15.3252,281835,63.0272,36.9728
90026205,"Amazon ",-5148,-17.2278,18872,63.1551,36.8449
90008166,Sound,-28400,-12.8433,139772,63.2089,36.7911
90008168,"Amazon ",-29803,-12.7309,148365,63.3770,36.6230
90005162,"Amazon ",-11577,-14.8539,49425,63.4150,36.5850
90022082,"Amazon ",-78538,-18.9803,263364,63.6471,36.3529
90008164,Digimarket,-38727,-16.4778,150383,63.9857,36.0143
90005159,Expression,-11184,-13.9273,51500,64.1321,35.8679
90022078,Costco,-68354,-16.1993,272046,64.4726,35.5274
70022084,"Atliq Exclusive",-86512,-19.5004,286432,64.5636,35.4364
90022080,Staples,-69046,-15.5237,287308,64.5960,35.4040
90022075,BestBuy,-73279,-16.9679,279385,64.6922,35.3078
90016173,Expert,-9115,-20.9213,28205,64.7379,35.2621
90022076,"Circuit City",-84752,-18.9971,289910,64.9830,35.0170
70016178,"Atliq e Store",-7561,-17.0162,28901,65.0425,34.9575
90016172,Power,-11090,-24.0632,30006,65.1073,34.8927
70016177,"Atliq Exclusive",-9724,-22.4355,28228,65.1285,34.8715
90008167,Electricalsocity,-33329,-14.7191,147705,65.2312,34.7688
70022085,"Atliq e Store",-73822,-18.2510,263922,65.2492,34.7508
90022081,Amazon,-135915,-21.1882,419293,65.3647,34.6353
90022071,"Acclaimed Stores",-80201,-18.6133,281873,65.4178,34.5822
90022079,walmart,-79540,-18.2060,285946,65.4505,34.5495
70003181,"Atliq Exclusive",-34835,-11.3600,200709,65.4528,34.5472
90022073,Control,-80249,-19.5027,272369,66.1932,33.8068
90016175,"Argos (Sainsbury's)",-9419,-20.7540,30161,66.4573,33.5427
90016171,"Electricalsara Stores",-9525,-20.9922,30155,66.4588,33.5412
90004066,"Surface Stores",-9655,-24.7266,25963,66.4917,33.5083
90022074,Flipkart,-104189,-19.8184,350847,66.7367,33.2633
90016174,"Currys (Dixons Carphone)",-9516,-21.7052,29358,66.9632,33.0368
90016176,"Amazon ",-9589,-20.2364,31779,67.0655,32.9345
90004062,"Flawless Stores",-9483,-23.9906,26657,67.4383,32.5617
70004069,"Atliq Exclusive",-9970,-25.9893,26050,67.9057,32.0943
70026206,"Atliq e Store",-7389,-25.6634,19609,68.1057,31.8943
90004061,"Info Stores",-10815,-28.9396,25841,69.1472,30.8528
90004067,Amazon,-18218,-28.6109,44196,69.4087,30.5913
90004065,Neptune,-9908,-26.5225,26050,69.7326,30.2674
90004063,"Electricalsbea Stores",-11001,-27.5825,27897,69.9453,30.0547
90004064,All-Out,-12425,-30.6707,28725,70.9067,29.0933
70004070,"Atliq e Store",-11641,-30.0692,27483,70.9898,29.0102
90004068,"Amazon ",-10876,-26.4971,29434,71.7098,28.2902
90006156,"Amazon ",-54881,-34.8712,113413,72.0622,27.9378
90006153,Insight,-50505,-34.7211,106357,73.1182,26.8818
80006155,Novus,-229091,-38.1843,448279,74.7179,25.2821
70006157,"Atliq Exclusive",-52310,-37.0693,105552,74.7991,25.2009
90012038,Expert,-31562,-40.5265,58644,75.3005,24.6995
80006154,Synthetic,-213373,-37.0338,434273,75.3739,24.6261
70006158,"Atliq e Store",-59493,-41.6288,107913,75.5096,24.4904
90019200,Sorefoz,-8095,-39.9536,15371,75.8650,24.1350
90012041,"Amazon ",-32923,-42.2371,59703,76.5934,23.4066
70012042,"Atliq Exclusive",-32066,-41.5400,59532,77.1210,22.8790
90012033,Digimarket,-33402,-43.9986,58830,77.4935,22.5065
90012039,"Currys (Dixons Carphone)",-35164,-42.9494,63704,77.8083,22.1917
90012040,Fnac-Darty,-32098,-38.1878,65688,78.1507,21.8493
70019204,"Atliq e Store",-8180,-41.6073,15468,78.6775,21.3225
90019201,Expert,-7531,-41.4840,14461,79.6574,20.3426
70012043,"Atliq e Store",-33828,-42.1333,64402,80.2137,19.7863
80007195,Sage,-466745,-47.7819,786971,80.5643,19.4357
90012037,Saturn,-33396,-43.3613,62258,80.8356,19.1644
90012035,Notebillig,-36738,-45.8400,65022,81.1315,18.8685
90012034,Otto,-35855,-47.0217,62241,81.6254,18.3746
90012036,Billa,-37856,-47.0928,65686,81.7132,18.2868
80007196,Leader,-469681,-47.6073,807109,81.8093,18.1907
70007199,"Atliq e Store",-121427,-51.3136,194953,82.3848,17.6152
70007198,"Atliq Exclusive",-117563,-51.5392,188585,82.6750,17.3250
90019203,"Amazon ",-8490,-44.5435,15928,83.5677,16.4323
90019202,"Argos (Sainsbury's)",-8363,-45.9051,15273,83.8347,16.1653
90007197,"Amazon ",-117383,-51.7432,191047,84.2147,15.7853
70014142,"Atliq Exclusive",-36584,-81.7702,47940,107.1524,0
70014143,"Atliq e Store",-36597,-80.7079,48575,107.1232,0
90014135,"Electricalslance Stores",-36013,-77.0859,48449,103.7052,0
90014137,"Media Markt",-33129,-73.9454,45767,102.1539,0
90014138,Mbit,-35470,-81.0206,45846,104.7214,0
90014139,Elkjøp,-36958,-79.9265,48450,104.7794,0
90014141,"Amazon ",-33557,-76.4309,45033,102.5692,0
90014136,"Reliance Digital",-36366,-75.0712,48472,100.0619,0
90014140,"Radio Popular",-38004,-79.8789,49774,104.6178,0
